Manufacturer,Plugin Name,Manual Reference
Universal Audio (UADx),UADx 175-B Compressor,https://help.uaudio.com/hc/en-us/articles/15707665525780-UA-175-B-176-Tube-Compressor-Collection-Manual
Universal Audio (UADx),UADx 176 Compressor,https://help.uaudio.com/hc/en-us/articles/15707665525780-UA-175-B-176-Tube-Compressor-Collection-Manual
Universal Audio (UADx),UADx 610-B Preamp and EQ,https://help.uaudio.com/hc/en-us/articles/17475989779860-UA-610-Tube-Preamp-EQ-Collection-Manual
Universal Audio (UADx),UADx Capitol Chambers,https://help.uaudio.com/hc/en-us/articles/18741463946516-Capitol-Chambers-Manual
Universal Audio (UADx),UADx Dream '65 Reverb Amp,https://help.uaudio.com/hc/en-us/articles/30847237412500-Dream-65-Reverb-Amp-Manual
Universal Audio (UADx),UADx Electra 88 Vintage Keys,https://help.uaudio.com/hc/en-us/articles/15388071477652-Electra-88-Vintage-Keys-Manual
Universal Audio (UADx),UADx Galaxy Tape Echo,https://help.uaudio.com/hc/en-us/articles/4419513003668-Galaxy-Tape-Echo-Manual
Universal Audio (UADx),UADx Hitsville Reverb Chambers,https://help.uaudio.com/hc/en-us/articles/10095944517396-Hitsville-Reverb-Chambers-Manual
Universal Audio (UADx),UADx LA-2 Compressor,https://help.uaudio.com/hc/en-us/articles/19378009641748-LA-2A-Tube-Compressor-Manual
Universal Audio (UADx),UADx LA-2A Gray Compressor,https://help.uaudio.com/hc/en-us/articles/4419496124180-Teletronix-LA-2A-Leveler-Collection-Manual
Universal Audio (UADx),UADx LA-2A Silver Compressor,https://help.uaudio.com/hc/en-us/articles/4419496124180-Teletronix-LA-2A-Leveler-Collection-Manual
Universal Audio (UADx),UADx Lion '68 Super Lead Amp,https://help.uaudio.com/hc/en-us/articles/30847259997972-Lion-68-Super-Lead-Amp-Manual
Universal Audio (UADx),UADx Paradise Guitar Studio,https://help.uaudio.com/hc/en-us/articles/43356770492692-Paradise-Guitar-Studio-Manual
Universal Audio (UADx),UADx Ruby '63 Top Boost Amp,https://help.uaudio.com/hc/en-us/articles/30847299809556-Ruby-63-Top-Boost-Amp-Manual
Universal Audio (UADx),UADx Showtime '64 Tube Amp,https://help.uaudio.com/hc/en-us/articles/40062124308756-Showtime-64-Tube-Amp-Manual
Universal Audio (UADx),UADx Sound City Studios,https://help.uaudio.com/hc/en-us/articles/18738187503380-Sound-City-Studios-Manual
Universal Audio (UADx),UADx Studer A800 Tape Recorder,https://help.uaudio.com/hc/en-us/articles/4419513099156-Studer-A800-Multichannel-Tape-Recorder-Manual
Universal Audio (UADx),UADx Studio D Chorus,https://help.uaudio.com/hc/en-us/articles/7360582279828-Studio-D-Chorus-Manual
Universal Audio (UADx),UADx Verve Analog Machines Essentials,https://help.uaudio.com/hc/en-us/articles/25190283956500-Verve-Analog-Machines-Manual
Universal Audio (UADx),UADx Waterfall B3 Organ,https://help.uaudio.com/hc/en-us/articles/4421163858836-Waterfall-B3-Organ-Manual
Universal Audio (UADx),UADx Waterfall Rotary Speaker,https://help.uaudio.com/hc/en-us/articles/12735041523988-Waterfall-Rotary-Speaker-Manual
Universal Audio (UADx),UADx Woodrow '55 Instrument Amp,https://help.uaudio.com/hc/en-us/articles/34758701036308-Woodrow-55-Instrument-Amp-Manual
Valhalla DSP LLC,ValhallaSuperMassive,
Waves,COSMOS Sample Finder,
